NAME,total_units_2000,state_fips,county_fips
"Dolores County, Colorado",1193,08,033
"Douglas County, Colorado",63333,08,035
"Eagle County, Colorado",22111,08,037
"Elbert County, Colorado",7113,08,039
"El Paso County, Colorado",202428,08,041
"Fremont County, Colorado",17145,08,043
"Garfield County, Colorado",17336,08,045
"Gilpin County, Colorado",2929,08,047
"Grand County, Colorado",10894,08,049
"Gunnison County, Colorado",9135,08,051
"Hinsdale County, Colorado",1304,08,053
"Huerfano County, Colorado",4599,08,055
"Jackson County, Colorado",1145,08,057
"Jefferson County, Colorado",212488,08,059
"Kiowa County, Colorado",817,08,061
"Kit Carson County, Colorado",3430,08,063
"Lake County, Colorado",3913,08,065
"La Plata County, Colorado",20765,08,067
"Larimer County, Colorado",105392,08,069
"Las Animas County, Colorado",7629,08,071
"Lincoln County, Colorado",2406,08,073
"Logan County, Colorado",8424,08,075
"Mesa County, Colorado",48427,08,077
"Mineral County, Colorado",1119,08,079
"Moffat County, Colorado",5635,08,081
"Montezuma County, Colorado",10497,08,083
"Montrose County, Colorado",14202,08,085
"Morgan County, Colorado",10410,08,087
"Otero County, Colorado",8813,08,089
"Ouray County, Colorado",2146,08,091
"Park County, Colorado",10697,08,093
"Phillips County, Colorado",2014,08,095
"Pitkin County, Colorado",10096,08,097
"Prowers County, Colorado",5977,08,099
"Pueblo County, Colorado",58926,08,101
"Rio Blanco County, Colorado",2855,08,103
"Rio Grande County, Colorado",6003,08,105
"Routt County, Colorado",11217,08,107
"Saguache County, Colorado",3087,08,109
"San Juan County, Colorado",632,08,111
"San Miguel County, Colorado",5197,08,113
"Sedgwick County, Colorado",1387,08,115
"Summit County, Colorado",24201,08,117
"Teller County, Colorado",10362,08,119
"Washington County, Colorado",2307,08,121
"Weld County, Colorado",66194,08,123
"Yuma County, Colorado",4295,08,125
"Fairfield County, Connecticut",339466,09,001
"Hartford County, Connecticut",353022,09,003
"Litchfield County, Connecticut",79267,09,005
"Middlesex County, Connecticut",67285,09,007
"New Haven County, Connecticut",340732,09,009
"New London County, Connecticut",110674,09,011
"Tolland County, Connecticut",51570,09,013
"Windham County, Connecticut",43959,09,015
"Kent County, Delaware",50481,10,001
"New Castle County, Delaware",199521,10,003
"Sussex County, Delaware",93070,10,005
"District of Columbia, District of Columbia",274845,11,001
"Alachua County, Florida",95113,12,001
"Baker County, Florida",7592,12,003
"Bay County, Florida",78435,12,005
"Bradford County, Florida",9605,12,007
"Brevard County, Florida",222072,12,009
"Broward County, Florida",741043,12,011
"Calhoun County, Florida",5250,12,013
"Charlotte County, Florida",79758,12,015
"Citrus County, Florida",62204,12,017
"Clay County, Florida",53748,12,019
"Collier County, Florida",144536,12,021
"Columbia County, Florida",23579,12,023
"DeSoto County, Florida",13608,12,027
"Dixie County, Florida",7362,12,029
"Duval County, Florida",329778,12,031
"Escambia County, Florida",124647,12,033
"Flagler County, Florida",24452,12,035
"Franklin County, Florida",7180,12,037
"Gadsden County, Florida",17703,12,039
"Gilchrist County, Florida",5906,12,041
"Glades County, Florida",5790,12,043
"Gulf County, Florida",7587,12,045
"Hamilton County, Florida",4966,12,047
"Hardee County, Florida",9820,12,049
"Hendry County, Florida",12294,12,051
"Hernando County, Florida",62727,12,053
"Highlands County, Florida",48846,12,055
"Hillsborough County, Florida",425962,12,057
"Holmes County, Florida",7998,12,059
"Indian River County, Florida",57902,12,061
"Jackson County, Florida",19490,12,063
"Jefferson County, Florida",5251,12,065
"Lafayette County, Florida",2660,12,067
"Lake County, Florida",102830,12,069
"Lee County, Florida",245405,12,071
"Leon County, Florida",103974,12,073
"Levy County, Florida",16570,12,075
"Liberty County, Florida",3156,12,077
"Madison County, Florida",7836,12,079
"Manatee County, Florida",138128,12,081
"Marion County, Florida",122663,12,083
"Martin County, Florida",65471,12,085
"Miami-Dade County, Florida",852278,12,086
"Monroe County, Florida",51617,12,087
"Nassau County, Florida",25917,12,089
"Okaloosa County, Florida",78593,12,091
"Okeechobee County, Florida",15504,12,093
"Orange County, Florida",361349,12,095
"Osceola County, Florida",72293,12,097
"Palm Beach County, Florida",556428,12,099
"Pasco County, Florida",173717,12,101
"Pinellas County, Florida",481573,12,103
"Polk County, Florida",226376,12,105
"Putnam County, Florida",33870,12,107
"St. Johns County, Florida",58008,12,109
"St. Lucie County, Florida",91262,12,111
"Santa Rosa County, Florida",49119,12,113
"Sarasota County, Florida",182467,12,115
"Seminole County, Florida",147079,12,117
"Sumter County, Florida",25195,12,119
"Suwannee County, Florida",15679,12,121
"Taylor County, Florida",9646,12,123
"Union County, Florida",3736,12,125
"Volusia County, Florida",211938,12,127
"Wakulla County, Florida",9820,12,129
"Walton County, Florida",29083,12,131
"Washington County, Florida",9503,12,133
"Appling County, Georgia",7854,13,001
"Atkinson County, Georgia",3171,13,003
"Bacon County, Georgia",4464,13,005
"Baker County, Georgia",1740,13,007
